name,email,phone,birthdate,cpf,address_1,address_2,zipcode,state,city,district,contact_name,contact_cpf
Maria Eduarda Lopes,teste@teste.com,,20/10/1957,73689415209,Rua Teste 1,,06162150,SP,,Bairro 1,,
Rebeca Aragão,,,15/10/1968,28597306483,Rua Teste 2,,06162151,SP,,Bairro 2,,
Dante Rios,,,06/12/1944,32548690792,Rua Teste 3,,06162152,SP,,Bairro 3,,
Antony Da Cruz,,,08/10/1993,60395874238,Rua Teste 4,,06162153,SP,,Bairro 4,,
Dra. Maria Alice Sá,,,08/03/1983,,Rua Teste 5,,06162154,SP,,Bairro 5,,
Stella Montenegro,,,13/08/1990,,Rua Teste 6,,06162155,SP,,Bairro 6,,
Maria Júlia Melo,,,24/08/1954,,Rua Teste 7,,06162156,SP,,Bairro 7,,
Enzo Araújo,,,17/04/1997,56429871002,Rua Teste 8,,06162157,SP,,Bairro 8,,
Emanuella Vieira,,,16/02/1976,,Rua Teste 9,,06162158,SP,,Bairro 9,,
Thales Abreu,teste@teste.com,,20/06/1998,78912346555,Rua Teste 10,,06162159,SP,,Bairro 10,Teste Pai,
João Barbosa,,,17/09/1981,24175903879,Rua Teste 11,,06162160,SP,,Bairro 11,,
Maitê Castro,,,15/04/1986,30962741850,Rua Teste 12,,06162161,SP,,Bairro 12,,
Dra. Esther Peixoto,,,24/02/1985,43159782050,Rua Teste 13,,06162162,SP,,Bairro 13,,
Rafaela Nunes,,,29/05/1969,52019846306,Rua Teste 14,,06162163,SP,,Bairro 14,Teste Mãe,52019846306
Dr. Yago Oliveira,teste@teste.com,,13/09/2001,98657230186,Rua Teste 15,,06162164,SP,,Bairro 15,,
Melina Nascimento,,,08/10/1990,43295087105,Rua Teste 16,,06162165,SP,,Bairro 16,,
Bruno Da Cunha,,,29/06/1979,97824106594,Rua Teste 17,,06162166,SP,,Bairro 17,,
Sra. Rafaela Duarte,,,01/05/1960,,Rua Teste 18,,06162167,SP,,Bairro 18,,
Marcela Pires,,,19/03/1991,10857246380,Rua Teste 19,,06162168,SP,,Bairro 19,,
Maria Eduarda Machado,teste@teste.com,,28/11/1968,,Rua Teste 20,,06162169,SP,,Bairro 20,,
